vessel_id,vessel_name,vessel_type,vessel_age,gross_tonnage,engine_type,flag_state,operator_company,last_inspection_date,compliance_status,policy_id,previous_premium,past_claims_count,total_claim_amount,claim_reason,last_claim_date,policy_coverage,timestamp,latitude,longitude,speed_knots,course_degrees,destination,port_of_departure,next_port,region,piracy_risk,war_zone_risk,historical_piracy_incidents,historical_collision_incidents,marine_traffic_density,weather_condition,wave_height_m,wind_speed_knots,sea_temperature_C,storm_risk_score,crew_experience_avg_years,safety_incidents_last_5yrs,maintenance_frequency,emergency_response_time,insurance_premium_pred,risk_category
VSL-1000,Ship_1,Fishing,23,82301.58,Hybrid,China,Company_5,2021-01-30,True,POL-5000,429286.59,5,713760.78,Collision,2022-12-03,722590.87,2025-02-26 13:54:42.845189,-83.946459,112.668437,0.97,326,Port_5,Port_14,Port_7,Arctic,0.07,0.53,18,21,61,Hurricane,1.1,22.5,13.77,0.13,29.52,1,6.29,43.95,372449.95,Medium
VSL-1001,Ship_2,Fishing,31,51826.76,Diesel,China,Company_4,2022-04-16,True,POL-5001,60261.18,2,87381.82,Theft,2020-05-01,158876.0,2025-02-26 13:54:42.845313,76.87888,10.270811,6.58,293,Port_3,Port_17,Port_20,Arctic,0.67,0.94,49,28,85,Clear,9.68,24.27,17.93,0.66,2.12,0,4.0,17.08,72765.0,Medium
VSL-1002,Ship_3,Container,2,56916.77,Hybrid,USA,Company_1,2023-02-14,False,POL-5002,311745.18,4,409283.22,Collision,2021-11-24,624718.14,2025-02-26 13:54:42.845387,20.822412,-100.406116,6.18,295,Port_12,Port_19,Port_18,Atlantic,0.87,0.23,43,5,75,Fog,0.66,78.56,25.67,0.85,26.61,8,10.79,16.28,420959.19,Medium
VSL-1003,Ship_4,Tanker,21,15885.57,Electric,Germany,Company_2,2023-10-17,False,POL-5003,288318.76,0,0.0,Fire,,669522.27,2025-02-26 13:54:42.845458,26.022613,-31.309227,11.67,177,Port_2,Port_8,Port_17,Indian,0.22,0.33,33,22,100,Hurricane,6.39,61.16,-1.32,0.3,15.79,10,5.36,22.77,260948.26,Medium
VSL-1004,Ship_5,Tanker,19,78215.76,Diesel,Japan,Company_5,2021-03-26,False,POL-5004,389653.32,4,687003.82,None,2019-06-05,701267.97,2025-02-26 13:54:42.845531,58.672096,41.870059,7.95,243,Port_14,Port_20,Port_8,Arctic,0.05,0.84,43,33,16,Storm,4.03,44.32,10.77,0.81,8.08,5,5.74,43.66,476147.41,Low
VSL-1005,Ship_6,Cargo,32,43315.59,Diesel,China,Company_1,2020-04-19,False,POL-5005,338297.4,4,78786.26,Weather,2022-07-11,944483.74,2025-02-26 13:54:42.845601,-15.751931,-6.701166,7.01,45,Port_18,Port_15,Port_8,Atlantic,0.79,0.64,5,23,70,Clear,3.95,97.95,15.12,0.22,15.28,10,10.46,11.48,395984.81,Low
VSL-1006,Ship_7,Tanker,25,55879.35,Electric,China,Company_5,2020-07-31,True,POL-5006,285966.38,3,481514.0,Collision,2022-01-22,739647.15,2025-02-26 13:54:42.845671,-13.61248,6.101374,2.0,260,Port_2,Port_6,Port_11,Indian,0.27,0.99,7,46,87,Storm,2.23,29.28,5.91,0.23,3.2,5,7.15,10.46,303427.4,Low
VSL-1007,Ship_8,Container,12,55497.19,Electric,Greece,Company_3,2023-03-10,False,POL-5007,65759.1,4,126316.93,None,2019-06-03,178984.73,2025-02-26 13:54:42.845751,-52.553685,134.103191,1.15,95,Port_4,Port_15,Port_20,Atlantic,0.46,0.29,18,10,87,Storm,7.58,66.18,-1.23,0.06,29.99,7,7.13,23.76,68482.12,Medium
VSL-1008,Ship_9,Fishing,9,60306.75,Electric,China,Company_2,2023-08-19,False,POL-5008,266681.48,2,230646.33,None,2019-07-23,690836.97,2025-02-26 13:54:42.845821,-49.847767,-21.854299,19.99,72,Port_5,Port_16,Port_2,Southern,0.71,0.64,15,3,31,Rain,7.6,3.24,8.69,0.4,6.77,6,10.1,55.86,301850.78,High
VSL-1009,Ship_10,Tanker,20,8486.62,Hybrid,Japan,Company_1,2021-10-05,False,POL-5009,140777.67,0,0.0,Collision,,397734.13,2025-02-26 13:54:42.845881,-83.24672,-107.655019,2.25,26,Port_11,Port_18,Port_19,Atlantic,0.83,0.24,29,6,57,Clear,6.39,72.75,16.66,0.82,5.26,2,11.53,20.43,197284.03,High
