vessel_id,vessel_name,vessel_type,vessel_age,gross_tonnage,engine_type,flag_state,operator_company,last_inspection_date,compliance_status,policy_id,previous_premium,past_claims_count,total_claim_amount,claim_reason,last_claim_date,policy_coverage,timestamp,latitude,longitude,speed_knots,course_degrees,destination,port_of_departure,next_port,region,piracy_risk,war_zone_risk,historical_piracy_incidents,historical_collision_incidents,marine_traffic_density,weather_condition,wave_height_m,wind_speed_knots,sea_temperature_C,storm_risk_score,crew_experience_avg_years,safety_incidents_last_5yrs,maintenance_frequency,emergency_response_time,insurance_premium_pred
VSL1008,MV Maersk 8,Passenger,19,173381,Hybrid,Greece,Evergreen,09-03-2024,Compliant,POL25008,344757.99,10,287324,Grounding,12-02-2025,1653796.35,27-02-2025,62.59342,-151.257823,12.97,98,Port 38,Port 28,Port 18,Pacific,1,0,0,10,10,Snowy,9.85,33.62,19.07,6,26,0,10.2,5.9,355085.43
VSL1088,MV Hapag-Lloyd 88,Bulk Carrier,31,124290,Diesel,Marshall Islands,MSC,27-05-2024,Compliant,POL23865,225742.05,6,476755.58,Weather Damage,23-02-2025,3617602.04,27-02-2025,48.600453,-173.53261,26.36,260,Port 4,Port 25,Port 30,South China Sea,0,0,3,6,10,Stormy,9.49,14.4,8.22,3,19,3,10.5,1.4,489559.89
VSL1091,MV COSCO 91,Bulk Carrier,27,71815,Electric,Marshall Islands,MSC,02-10-2024,Compliant,POL50742,209330.7,9,235723.36,Fire,09-09-2024,3572833.41,27-02-2025,76.74491,42.661649,28.06,292,Port 34,Port 23,Port 46,Indian Ocean,1,1,0,10,5,Snowy,7.94,40.49,15.11,9,3,5,6.6,4.8,456491.66
VSL1010,MV CMA CGM 10,Fishing,30,86043,Diesel,Liberia,COSCO,07-04-2024,Compliant,POL58103,389068.11,8,611087.64,Weather Damage,15-10-2024,3215889.78,27-02-2025,-81.544464,-64.306433,2.71,234,Port 4,Port 35,Port 17,Atlantic,0,1,4,6,2,Foggy,0.18,86.07,16.39,5,25,2,6.5,7.6,241844.42
VSL1004,MV CMA CGM 4,Bulk Carrier,28,10165,Electric,Singapore,MSC,07-09-2024,Compliant,POL91307,54366.58,0,0,None,,3605738.56,27-02-2025,77.414441,-93.559641,3.48,225,Port 18,Port 41,Port 11,Pacific,0,0,2,1,6,Stormy,1.52,54.67,27.1,10,14,4,6,6.9,198863.27
VSL1087,MV Evergreen 87,Cargo,24,96149,Electric,Marshall Islands,CMA CGM,14-06-2024,Compliant,POL76473,371386.54,3,279902.69,Collision,01-07-2024,786338.11,27-02-2025,44.098258,-61.817303,1.81,90,Port 49,Port 30,Port 13,Indian Ocean,0,1,1,1,8,Rainy,5.2,66.96,28.52,4,8,4,9.1,1.3,250131.94
VSL1036,MV Evergreen 36,Bulk Carrier,4,150006,Hybrid,Malta,Hapag-Lloyd,04-04-2024,Non-Compliant,POL69007,453312.16,6,435904.98,Weather Damage,16-12-2024,3553273.61,27-02-2025,-11.446901,101.599184,21.1,264,Port 34,Port 20,Port 18,Pacific,1,1,4,5,8,Rainy,8.37,19.68,27.34,5,17,3,9.8,9.2,135842.08
VSL1029,MV Evergreen 29,Container Ship,9,128444,Electric,Panama,Evergreen,14-06-2024,Compliant,POL39025,454394.9,9,145051.13,Piracy Attack,07-08-2024,3805993.69,27-02-2025,32.749731,-90.220587,29.52,146,Port 34,Port 37,Port 39,South China Sea,0,1,0,6,9,Stormy,8.61,61.48,-0.57,1,9,4,5.5,3.1,207845.82
VSL1063,MV CMA CGM 63,Bulk Carrier,20,186386,Diesel,Liberia,CMA CGM,23-05-2024,Compliant,POL98004,414979,2,31560.68,Fire,12-12-2024,3024228.67,27-02-2025,-8.862312,-85.868157,7.42,69,Port 35,Port 47,Port 23,Pacific,0,0,0,2,4,Snowy,2.55,4.99,26.93,6,26,3,8.8,2.3,268891.65
VSL1023,MV COSCO 23,Container Ship,21,196783,Diesel,Liberia,Hapag-Lloyd,20-09-2024,Non-Compliant,POL82565,347908.69,4,68211.82,Fire,29-07-2024,1033383.67,27-02-2025,-50.6927,-86.786224,17.35,232,Port 3,Port 29,Port 25,Indian Ocean,1,1,3,7,3,Rainy,6.97,98.56,-0.14,1,17,5,1.9,2.9,86525.94
VSL1075,MV COSCO 75,Passenger,23,198472,Electric,Greece,Evergreen,10-01-2025,Compliant,POL85032,101662.29,10,529084.24,Grounding,21-11-2024,1282624.67,27-02-2025,-49.797897,7.03007,8.24,49,Port 1,Port 40,Port 18,Indian Ocean,0,1,5,3,6,Stormy,1.8,47.26,14.87,6,17,0,8.4,5.5,435216.73
VSL1011,MV MSC 11,Passenger,34,114690,Diesel,Panama,Evergreen,04-03-2024,Compliant,POL80484,321741.22,8,660350.64,Mechanical Failure,22-03-2024,4978019.17,27-02-2025,73.949141,97.699553,8.78,152,Port 16,Port 32,Port 23,Mediterranean,1,1,3,8,8,Stormy,3.21,22.22,29.8,8,1,2,11.9,1.7,71292.96
VSL1017,MV MSC 17,Tanker,9,147842,Hybrid,Greece,CMA CGM,26-03-2024,Non-Compliant,POL54056,333502.62,4,214308.93,Fire,29-02-2024,1646604.09,27-02-2025,69.704492,-100.229087,17.11,230,Port 5,Port 37,Port 11,Arctic,1,0,3,9,10,Foggy,1.98,62.85,12.66,2,10,4,11,5.5,191376.6
VSL1011,MV MSC 11,Passenger,34,114690,Diesel,Panama,Evergreen,04-03-2024,Compliant,POL80484,321741.22,8,660350.64,Mechanical Failure,22-03-2024,4978019.17,27-02-2025,73.949141,97.699553,8.78,152,Port 16,Port 32,Port 23,Mediterranean,1,1,3,8,8,Stormy,3.21,22.22,29.8,8,1,2,11.9,1.7,71292.96
VSL1017,MV MSC 17,Tanker,9,147842,Hybrid,Greece,CMA CGM,26-03-2024,Non-Compliant,POL54056,333502.62,4,214308.93,Fire,29-02-2024,1646604.09,27-02-2025,69.704492,-100.229087,17.11,230,Port 5,Port 37,Port 11,Arctic,1,0,3,9,10,Foggy,1.98,62.85,12.66,2,10,4,11,5.5,191376.6
VSL1039,MV Hapag-Lloyd 39,Passenger,33,65948,Diesel,Marshall Islands,Hapag-Lloyd,22-11-2024,Non-Compliant,POL22478,165628.34,1,95648.39,Piracy Attack,06-05-2024,3681839.5,27-02-2025,7.821164,-12.06527,19.55,342,Port 25,Port 33,Port 47,Pacific,1,1,2,8,3,Clear,3.38,53.93,20.61,6,11,4,5.7,4.5,356791.19
VSL1067,MV Hapag-Lloyd 67,Container Ship,20,10884,Diesel,Marshall Islands,Hapag-Lloyd,18-08-2024,Compliant,POL34086,221485.26,2,58427.96,Weather Damage,15-06-2024,778320.89,27-02-2025,60.585445,-164.018384,28.77,3,Port 43,Port 3,Port 50,South China Sea,1,0,1,2,6,Snowy,6.39,70.29,7.01,3,2,1,10.7,3.6,480448.38
VSL1077,MV MSC 77,Passenger,8,175037,Diesel,Greece,Maersk,21-11-2024,Non-Compliant,POL93951,409260.32,7,168561.38,Grounding,11-12-2024,3713813.88,27-02-2025,60.335391,-100.161144,28.27,237,Port 9,Port 44,Port 46,Atlantic,1,1,2,7,3,Clear,3.77,8.29,10.06,6,2,3,1.1,6.1,497713.16
VSL1056,MV Maersk 56,Tanker,27,150332,Electric,Liberia,Hapag-Lloyd,07-12-2024,Compliant,POL65293,420832.4,1,70260.15,Piracy Attack,16-06-2024,3675279.07,27-02-2025,-87.653257,-77.658568,12.08,180,Port 19,Port 13,Port 13,Indian Ocean,1,1,0,5,4,Clear,6.69,53.91,4.73,5,5,1,4.4,4.3,444811.86
VSL1004,MV CMA CGM 4,Bulk Carrier,28,10165,Electric,Singapore,MSC,07-09-2024,Compliant,POL91307,54366.58,0,0,None,,3605738.56,27-02-2025,77.414441,-93.559641,3.48,225,Port 18,Port 41,Port 11,Pacific,0,0,2,1,6,Stormy,1.52,54.67,27.1,10,14,4,6,6.9,198863.27
VSL1019,MV MSC 19,Passenger,38,116311,Electric,Panama,Hapag-Lloyd,18-07-2024,Non-Compliant,POL74659,177142.84,9,863052.82,Mechanical Failure,02-09-2024,1777052.77,27-02-2025,89.516042,2.281902,12.26,306,Port 25,Port 37,Port 8,Mediterranean,1,0,3,4,10,Stormy,3.94,29.4,0.33,6,2,3,3.3,9.9,398980.72
VSL1045,MV Evergreen 45,Tanker,18,153808,Electric,Marshall Islands,Maersk,04-07-2024,Non-Compliant,POL23369,324414.02,4,143779.28,Piracy Attack,15-08-2024,707423.87,27-02-2025,-51.348267,103.710775,2.25,308,Port 50,Port 32,Port 41,Arctic,0,0,2,9,7,Clear,2.68,80.18,20.95,2,19,1,6.4,9.1,433648.17
VSL1004,MV CMA CGM 4,Bulk Carrier,28,10165,Electric,Singapore,MSC,07-09-2024,Compliant,POL91307,54366.58,0,0,None,,3605738.56,27-02-2025,77.414441,-93.559641,3.48,225,Port 18,Port 41,Port 11,Pacific,0,0,2,1,6,Stormy,1.52,54.67,27.1,10,14,4,6,6.9,198863.27
VSL1072,MV Evergreen 72,Passenger,20,119784,Hybrid,Malta,MSC,29-05-2024,Non-Compliant,POL42020,342241.38,7,375950.88,Grounding,08-01-2025,4757010.14,27-02-2025,23.168915,-151.934172,27.1,299,Port 36,Port 33,Port 8,South China Sea,1,1,0,0,2,Rainy,5.18,27.47,19.2,6,25,4,3.4,9.4,94076.08
VSL1082,MV MSC 82,Fishing,20,171436,Electric,Singapore,Evergreen,14-01-2025,Non-Compliant,POL57818,63057.78,10,983974.57,Grounding,28-12-2024,814613.77,27-02-2025,14.242473,152.618013,1.53,314,Port 30,Port 7,Port 43,South China Sea,0,1,2,2,8,Rainy,6.46,13.41,9.48,10,23,2,11.6,1.1,187354.65
VSL1025,MV COSCO 25,Bulk Carrier,12,89446,Electric,Greece,Hapag-Lloyd,08-05-2024,Non-Compliant,POL51461,467129.14,10,664152.82,Collision,06-04-2024,2940330.94,27-02-2025,19.799996,145.308642,7.26,11,Port 46,Port 36,Port 16,Indian Ocean,1,1,1,8,1,Rainy,7.97,99.96,2.61,0,10,3,9.4,5.6,499097.34
VSL1006,MV Hapag-Lloyd 6,Passenger,8,92134,Electric,Liberia,MSC,29-06-2024,Non-Compliant,POL81891,482875.04,8,402133.49,Collision,25-01-2025,1021206.47,27-02-2025,3.333001,173.298813,19.97,161,Port 1,Port 12,Port 47,Mediterranean,1,1,5,2,1,Clear,3.55,57.29,13.82,10,11,0,10.1,8.7,186040.62
VSL1009,MV Evergreen 9,Tanker,21,123485,Diesel,Greece,MSC,28-05-2024,Non-Compliant,POL78148,245090.75,5,122285.3,Grounding,26-08-2024,599723.69,27-02-2025,-35.841007,96.731678,23.86,228,Port 3,Port 11,Port 38,South China Sea,0,0,3,5,4,Clear,7.14,86.02,24.8,5,28,0,4.3,1,250885.89
VSL1093,MV Hapag-Lloyd 93,Container Ship,32,6123,Electric,Marshall Islands,MSC,14-10-2024,Non-Compliant,POL45429,481581.83,4,169649.23,Grounding,05-07-2024,1727791.72,27-02-2025,-86.074319,73.945238,8,242,Port 20,Port 40,Port 19,Indian Ocean,0,1,1,2,1,Rainy,3.94,36.44,6.08,0,10,1,1.9,5.4,421396.15
VSL1005,MV Evergreen 5,Cargo,40,129452,Hybrid,Panama,Hapag-Lloyd,19-05-2024,Non-Compliant,POL84468,164424.26,5,426694.62,Weather Damage,25-01-2025,1245669.86,27-02-2025,-43.292982,103.421799,13.58,94,Port 39,Port 39,Port 36,South China Sea,1,0,4,3,7,Snowy,3.43,10.51,11.15,2,18,3,5.6,9.9,68065.17
VSL1064,MV Evergreen 64,Tanker,4,119131,Electric,Singapore,Evergreen,29-11-2024,Compliant,POL57157,496876.19,6,101020.06,Fire,21-09-2024,2376921.54,27-02-2025,-59.228205,-120.485315,4.36,102,Port 21,Port 26,Port 20,Arctic,0,0,1,0,6,Rainy,6.52,13.34,10.43,9,9,5,2,5,197573.62
VSL1022,MV Evergreen 22,Bulk Carrier,27,73927,Electric,Greece,Hapag-Lloyd,02-07-2024,Non-Compliant,POL19087,396570.28,2,191273.18,Mechanical Failure,23-12-2024,4311737.82,27-02-2025,-20.512715,-43.690142,6.75,15,Port 16,Port 31,Port 49,Mediterranean,0,0,4,2,9,Clear,5.98,82.07,7.42,8,2,0,7.9,6.7,95383.14
VSL1022,MV Evergreen 22,Bulk Carrier,27,73927,Electric,Greece,Hapag-Lloyd,02-07-2024,Non-Compliant,POL19087,396570.28,2,191273.18,Mechanical Failure,23-12-2024,4311737.82,27-02-2025,-20.512715,-43.690142,6.75,15,Port 16,Port 31,Port 49,Mediterranean,0,0,4,2,9,Clear,5.98,82.07,7.42,8,2,0,7.9,6.7,95383.14
VSL1000,MV CMA CGM 0,Fishing,11,183434,Hybrid,Panama,MSC,19-04-2024,Compliant,POL52877,489074.89,2,77126.98,Fire,02-12-2024,1580278.01,27-02-2025,69.527775,-58.942086,19.79,140,Port 17,Port 25,Port 1,South China Sea,1,1,4,5,10,Foggy,2.39,59.9,27.75,3,10,4,3.6,1.9,369642.83
VSL1092,MV MSC 92,Fishing,29,96752,Hybrid,Panama,MSC,13-09-2024,Non-Compliant,POL27452,438583.34,5,445604.9,Fire,08-07-2024,3828411.33,27-02-2025,-57.689042,128.402002,16.07,2,Port 17,Port 17,Port 18,Pacific,1,0,3,10,1,Stormy,7.84,3.17,8.94,6,2,5,6.1,9.9,372395.22
VSL1055,MV Evergreen 55,Bulk Carrier,12,32111,Hybrid,Malta,Hapag-Lloyd,14-09-2024,Non-Compliant,POL63809,477776.79,7,694833.62,Weather Damage,09-07-2024,2851267.44,27-02-2025,0.457262,-83.482005,2.3,189,Port 42,Port 47,Port 41,Atlantic,1,1,3,7,7,Stormy,7.65,90.72,10.97,8,21,1,11,6.8,473492.55
VSL1042,MV Evergreen 42,Fishing,35,58602,Electric,Marshall Islands,COSCO,05-09-2024,Non-Compliant,POL17976,53903.89,6,175693.98,Piracy Attack,16-12-2024,4207686.76,27-02-2025,66.356819,-179.472903,9.82,133,Port 32,Port 47,Port 13,Mediterranean,0,0,4,6,1,Snowy,0.08,51.01,19.6,0,6,0,2.5,5.4,220124.41
VSL1030,MV MSC 30,Bulk Carrier,30,104317,Hybrid,Greece,Evergreen,04-12-2024,Non-Compliant,POL74375,423041.15,3,80712.97,Grounding,08-08-2024,4625344.22,27-02-2025,-85.897689,39.293275,13.44,350,Port 22,Port 48,Port 28,Pacific,1,0,3,4,10,Snowy,1.36,11.61,26.81,5,13,2,3,2,86764.32
VSL1001,MV Hapag-Lloyd 1,Tanker,6,174358,Hybrid,Liberia,CMA CGM,13-11-2024,Non-Compliant,POL17204,313192.32,9,641472.08,Collision,10-03-2024,4499213.51,27-02-2025,-63.896752,-110.003436,0.07,2,Port 2,Port 30,Port 29,Atlantic,1,1,1,8,5,Snowy,3.13,45.49,24.42,9,15,5,5.6,8.8,479566.42
VSL1077,MV MSC 77,Passenger,8,175037,Diesel,Greece,Maersk,21-11-2024,Non-Compliant,POL93951,409260.32,7,168561.38,Grounding,11-12-2024,3713813.88,27-02-2025,60.335391,-100.161144,28.27,237,Port 9,Port 44,Port 46,Atlantic,1,1,2,7,3,Clear,3.77,8.29,10.06,6,2,3,1.1,6.1,497713.16
VSL1021,MV Maersk 21,Cargo,1,140206,Diesel,Singapore,Maersk,31-12-2024,Non-Compliant,POL63759,452446.1,0,0,None,,3250312.98,27-02-2025,82.605348,142.049219,28.37,51,Port 43,Port 47,Port 46,Atlantic,0,1,2,2,8,Clear,6.57,87.2,19.75,8,3,3,3,1.2,128391.09
VSL1084,MV Maersk 84,Tanker,16,74720,Hybrid,Liberia,MSC,01-03-2024,Non-Compliant,POL21792,67912.33,10,572750.46,Weather Damage,28-10-2024,4290725.83,27-02-2025,-5.011451,-133.67515,29.45,229,Port 33,Port 20,Port 48,Atlantic,0,0,4,9,6,Clear,0.05,16.5,22.59,10,21,4,3.3,8.8,299295.84
VSL1045,MV Evergreen 45,Tanker,18,153808,Electric,Marshall Islands,Maersk,04-07-2024,Non-Compliant,POL23369,324414.02,4,143779.28,Piracy Attack,15-08-2024,707423.87,27-02-2025,-51.348267,103.710775,2.25,308,Port 50,Port 32,Port 41,Arctic,0,0,2,9,7,Clear,2.68,80.18,20.95,2,19,1,6.4,9.1,433648.17
VSL1005,MV Evergreen 5,Cargo,40,129452,Hybrid,Panama,Hapag-Lloyd,19-05-2024,Non-Compliant,POL84468,164424.26,5,426694.62,Weather Damage,25-01-2025,1245669.86,27-02-2025,-43.292982,103.421799,13.58,94,Port 39,Port 39,Port 36,South China Sea,1,0,4,3,7,Snowy,3.43,10.51,11.15,2,18,3,5.6,9.9,68065.17
VSL1019,MV MSC 19,Passenger,38,116311,Electric,Panama,Hapag-Lloyd,18-07-2024,Non-Compliant,POL74659,177142.84,9,863052.82,Mechanical Failure,02-09-2024,1777052.77,27-02-2025,89.516042,2.281902,12.26,306,Port 25,Port 37,Port 8,Mediterranean,1,0,3,4,10,Stormy,3.94,29.4,0.33,6,2,3,3.3,9.9,398980.72
VSL1003,MV CMA CGM 3,Fishing,37,182335,Diesel,Liberia,MSC,06-07-2024,Non-Compliant,POL59405,485762.48,10,272918.98,Mechanical Failure,20-07-2024,2604109.91,27-02-2025,-36.519245,6.845206,24.96,64,Port 50,Port 40,Port 34,Mediterranean,1,1,1,2,10,Foggy,0.65,0.76,7.66,1,2,5,8.9,8.5,220930.53
VSL1057,MV Maersk 57,Passenger,12,16741,Diesel,Malta,Maersk,24-08-2024,Compliant,POL83299,309259.71,2,150750.85,Mechanical Failure,18-08-2024,2923475.98,27-02-2025,45.673963,-162.718315,3.92,48,Port 12,Port 37,Port 38,Atlantic,0,0,0,3,2,Stormy,8.6,97.91,26.29,2,21,2,3.1,3.2,483831.92
VSL1071,MV Maersk 71,Tanker,31,187892,Electric,Singapore,CMA CGM,16-11-2024,Non-Compliant,POL40264,330643.33,0,0,None,,4486602.94,27-02-2025,75.532979,-119.67334,21.96,20,Port 38,Port 19,Port 12,South China Sea,0,0,4,5,3,Snowy,1.91,16.46,11.99,6,12,4,9.8,6.7,75188.72
VSL1073,MV Hapag-Lloyd 73,Tanker,4,45396,Electric,Marshall Islands,COSCO,17-01-2025,Non-Compliant,POL84067,191484.08,3,154941.29,Grounding,03-06-2024,1950837.53,27-02-2025,33.424945,177.43844,1.64,5,Port 9,Port 13,Port 20,Mediterranean,0,0,4,4,5,Rainy,1.69,49.86,-0.93,3,6,0,11.7,9.3,420073.71
VSL1055,MV Evergreen 55,Bulk Carrier,12,32111,Hybrid,Malta,Hapag-Lloyd,14-09-2024,Non-Compliant,POL63809,477776.79,7,694833.62,Weather Damage,09-07-2024,2851267.44,27-02-2025,0.457262,-83.482005,2.3,189,Port 42,Port 47,Port 41,Atlantic,1,1,3,7,7,Stormy,7.65,90.72,10.97,8,21,1,11,6.8,473492.55
VSL1048,MV CMA CGM 48,Bulk Carrier,32,51862,Electric,Malta,Maersk,23-01-2025,Non-Compliant,POL81173,197948.52,2,198619.8,Mechanical Failure,21-04-2024,4130157.69,27-02-2025,17.147682,173.302666,4.46,74,Port 46,Port 22,Port 23,Pacific,0,1,3,3,8,Clear,7.82,17.42,-1.68,9,15,0,4.5,7.8,413075.14
VSL1003,MV CMA CGM 3,Fishing,37,182335,Diesel,Liberia,MSC,06-07-2024,Non-Compliant,POL59405,485762.48,10,272918.98,Mechanical Failure,20-07-2024,2604109.91,27-02-2025,-36.519245,6.845206,24.96,64,Port 50,Port 40,Port 34,Mediterranean,1,1,1,2,10,Foggy,0.65,0.76,7.66,1,2,5,8.9,8.5,220930.53
VSL1000,MV CMA CGM 0,Fishing,11,183434,Hybrid,Panama,MSC,19-04-2024,Compliant,POL52877,489074.89,2,77126.98,Fire,02-12-2024,1580278.01,27-02-2025,69.527775,-58.942086,19.79,140,Port 17,Port 25,Port 1,South China Sea,1,1,4,5,10,Foggy,2.39,59.9,27.75,3,10,4,3.6,1.9,369642.83
VSL1015,MV CMA CGM 15,Tanker,40,59920,Diesel,Greece,Maersk,12-03-2024,Compliant,POL89050,115817.97,2,164111.23,Grounding,15-10-2024,4912559.24,27-02-2025,42.146895,40.818178,14.12,182,Port 9,Port 35,Port 10,South China Sea,0,1,0,6,8,Rainy,5.31,50.71,-1.59,7,4,0,1.2,4.8,325944.51
VSL1026,MV CMA CGM 26,Bulk Carrier,14,163477,Diesel,Greece,MSC,20-03-2024,Non-Compliant,POL70806,409361.82,6,364299.68,Grounding,31-12-2024,3845552.94,27-02-2025,-30.030291,-130.683547,18.15,201,Port 32,Port 26,Port 48,Indian Ocean,0,0,5,3,9,Snowy,0.59,49.82,0.24,4,30,2,8.5,5.2,443002.29
VSL1069,MV COSCO 69,Passenger,19,145840,Diesel,Singapore,Maersk,14-11-2024,Non-Compliant,POL85606,448798.17,4,377007.97,Mechanical Failure,18-09-2024,1527082.21,27-02-2025,30.893384,86.083167,15.76,95,Port 3,Port 36,Port 41,Mediterranean,0,0,4,6,10,Clear,2.81,89.41,24.17,3,5,3,6.3,1.8,159351.45
VSL1046,MV MSC 46,Tanker,21,118540,Diesel,Panama,Hapag-Lloyd,16-12-2024,Compliant,POL65926,459948.37,1,32565.31,Mechanical Failure,11-12-2024,2794493.23,27-02-2025,82.872226,-90.658939,0.98,69,Port 38,Port 7,Port 8,South China Sea,0,1,3,10,6,Snowy,6.98,97.99,14.66,10,7,3,5.2,2.7,456619.64
VSL1019,MV MSC 19,Passenger,38,116311,Electric,Panama,Hapag-Lloyd,18-07-2024,Non-Compliant,POL74659,177142.84,9,863052.82,Mechanical Failure,02-09-2024,1777052.77,27-02-2025,89.516042,2.281902,12.26,306,Port 25,Port 37,Port 8,Mediterranean,1,0,3,4,10,Stormy,3.94,29.4,0.33,6,2,3,3.3,9.9,398980.72
VSL1072,MV Evergreen 72,Passenger,20,119784,Hybrid,Malta,MSC,29-05-2024,Non-Compliant,POL42020,342241.38,7,375950.88,Grounding,08-01-2025,4757010.14,27-02-2025,23.168915,-151.934172,27.1,299,Port 36,Port 33,Port 8,South China Sea,1,1,0,0,2,Rainy,5.18,27.47,19.2,6,25,4,3.4,9.4,94076.08
VSL1020,MV Evergreen 20,Container Ship,6,22383,Diesel,Malta,Maersk,27-06-2024,Compliant,POL46383,65414.63,6,116765.08,Fire,18-06-2024,3616071.83,27-02-2025,62.575039,92.203387,11.47,276,Port 20,Port 15,Port 2,Atlantic,0,0,3,9,5,Foggy,7.05,13.9,9.51,8,21,3,9.1,5.4,403756.04
VSL1002,MV COSCO 2,Cargo,12,116304,Diesel,Greece,COSCO,28-10-2024,Compliant,POL42033,497147.41,9,300125.35,Grounding,22-08-2024,3712771.08,27-02-2025,0.155533,123.299957,27.73,12,Port 19,Port 28,Port 15,Atlantic,0,1,1,1,4,Foggy,3.56,33.07,4.26,5,4,1,8.3,1.3,410532.93
VSL1033,MV Evergreen 33,Container Ship,39,154589,Hybrid,Liberia,MSC,11-04-2024,Compliant,POL56453,233630.86,3,153274.12,Collision,16-09-2024,4837198.15,27-02-2025,-62.918707,109.277016,27.8,61,Port 11,Port 9,Port 29,Arctic,0,0,5,9,8,Clear,9.6,96.36,24.84,8,3,0,9.2,2.5,418348.99
VSL1063,MV CMA CGM 63,Bulk Carrier,20,186386,Diesel,Liberia,CMA CGM,23-05-2024,Compliant,POL98004,414979,2,31560.68,Fire,12-12-2024,3024228.67,27-02-2025,-8.862312,-85.868157,7.42,69,Port 35,Port 47,Port 23,Pacific,0,0,0,2,4,Snowy,2.55,4.99,26.93,6,26,3,8.8,2.3,268891.65
VSL1054,MV MSC 54,Cargo,39,106486,Electric,Panama,MSC,17-01-2025,Non-Compliant,POL19776,487694.11,3,289868.46,Piracy Attack,03-11-2024,3032397.86,27-02-2025,70.019208,-53.565572,26.58,78,Port 49,Port 19,Port 37,Arctic,0,1,0,1,10,Stormy,7.18,28.59,16.35,9,2,0,6.8,1.2,397772.1
VSL1076,MV Maersk 76,Tanker,13,42253,Electric,Liberia,CMA CGM,10-07-2024,Non-Compliant,POL30819,282046.77,1,94633.69,Grounding,04-06-2024,2056365.14,27-02-2025,-54.935657,-141.220392,26.36,348,Port 2,Port 10,Port 36,Arctic,1,0,0,6,3,Rainy,3.68,75.37,2.39,10,26,2,11.5,3.2,313265.43
VSL1094,MV MSC 94,Fishing,16,145875,Diesel,Marshall Islands,Evergreen,21-07-2024,Compliant,POL89556,226325.58,2,40282.03,Mechanical Failure,06-01-2025,3993930.48,27-02-2025,51.950658,-131.791268,22.27,125,Port 20,Port 49,Port 42,Mediterranean,0,1,3,8,8,Rainy,9.91,38.28,24.81,7,24,5,9.6,7.7,139669.16
VSL1001,MV Hapag-Lloyd 1,Tanker,6,174358,Hybrid,Liberia,CMA CGM,13-11-2024,Non-Compliant,POL17204,313192.32,9,641472.08,Collision,10-03-2024,4499213.51,27-02-2025,-63.896752,-110.003436,0.07,2,Port 2,Port 30,Port 29,Atlantic,1,1,1,8,5,Snowy,3.13,45.49,24.42,9,15,5,5.6,8.8,479566.42
