vessel_id,vessel_name,vessel_type,vessel_age,gross_tonnage,engine_type,flag_state,operator_company,last_inspection_date,compliance_status,policy_id,previous_premium,past_claims_count,total_claim_amount,claim_reason,last_claim_date,policy_coverage,timestamp,latitude,longitude,speed_knots,course_degrees,destination,port_of_departure,next_port,region,piracy_risk,war_zone_risk,historical_piracy_incidents,historical_collision_incidents,marine_traffic_density,weather_condition,wave_height_m,wind_speed_knots,sea_temperature_C,storm_risk_score,crew_experience_avg_years,safety_incidents_last_5yrs,maintenance_frequency,emergency_response_time,insurance_premium_pred,risk_category
VSL-1000,Estonia,Ferry,48,223925.46,Hybrid,Germany,Carnival,18-09-2006,False,POL-5000,655255.74,19,437516.47,Structural Failure,05-05-2003,1539926.44,26-02-2018,37.5,15.0,26.23,73,Port_48,Port_19,Port_36,Mediterranean,0.15,0.2,5.0,47,26,Foggy,3.79,76.23,2.43,4.0,5.37,19,8.11,54.92,847049.14,Low
VSL-1001,Estonia,Cruise,14,203595.33,Gas Turbine,USA,MOL,22-12-2005,False,POL-5001,784096.96,1,1139016.34,Piracy,24-05-2010,3895845.66,27-02-2001,5.0,70.0,2.84,233,Port_8,Port_9,Port_34,Indian Ocean,0.7,0.4,25.0,44,68,Stormy,12.36,84.23,5.88,8.0,19.53,7,11.34,47.4,1173202.15,Medium
VSL-1002,Titanic,Fishing,15,159136.03,Hybrid,Panama,MSC,11-10-2002,True,POL-5002,685789.04,19,413153.36,Explosion,09-03-2002,1770021.17,13-08-2017,41.7,-49.9,12.47,69,Port_20,Port_19,Port_32,Atlantic,0.05,0.1,0.0,15,92,Clear,10.09,79.45,11.72,8.5,2.74,19,9.85,20.35,792979.29,High
VSL-1003,Deepwater Horizon,Cruise,32,48525.81,Hybrid,Japan,BP,21-02-2001,True,POL-5003,271073.26,9,148076.0,Grounding,22-12-2002,949685.62,03-03-2016,12.5,112.5,1.04,301,Port_4,Port_31,Port_29,Gulf of Mexico,0.2,0.3,0.0,35,56,Rainy,5.09,56.24,16.32,9.0,7.4,13,3.15,56.66,216950.59,High
VSL-1004,Sewol,LNG Carrier,24,89555.45,Steam,UK,Carnival,21-10-2005,False,POL-5004,463711.7,18,1122710.79,Sinking,09-12-2017,2069695.82,06-02-2011,37.5,15.0,12.84,6,Port_4,Port_47,Port_22,Yellow Sea,0.1,0.2,0.0,38,3,Snowy,2.36,0.94,13.69,5.0,17.23,4,11.95,16.76,505673.78,Low
VSL-1005,Empress of Ireland,LNG Carrier,7,160892.45,Diesel,Germany,White Star Line,26-02-2007,False,POL-5005,608527.56,0,507213.67,Sinking,13-02-2015,2632639.32,21-01-2015,12.5,112.5,18.97,1,Port_37,Port_45,Port_4,South China Sea,0.5,0.6,15.0,34,87,Clear,12.74,34.3,15.26,3.5,23.93,1,3.73,10.05,487664.36,Low
VSL-1006,Bulgaria,Passenger,32,219312.65,Diesel,Germany,Evergreen,30-09-2001,True,POL-5006,583310.1,1,325159.25,Explosion,20-11-2006,1419616.73,23-04-2010,-83.727956,-159.840469,6.46,212,Port_19,Port_34,Port_38,Arctic,0.71,0.92,9.0,8,49,Snowy,6.04,29.74,28.85,1.925,10.98,4,8.22,2.62,521761.88,Medium
VSL-1007,Estonia,Passenger,17,39234.68,Hybrid,Panama,Maersk,08-07-2003,True,POL-5007,335598.87,3,820223.44,Sinking,21-10-2010,1167847.24,31-01-2017,-47.116444,-6.959205,7.26,61,Port_3,Port_13,Port_50,Atlantic,0.1,0.1,3.0,47,81,Stormy,14.46,96.12,24.16,8.5,30.51,15,2.27,52.12,339336.39,Medium
VSL-1008,Costa Concordia,LNG Carrier,47,49327.35,Hybrid,UK,COSCO,23-12-2001,True,POL-5008,269856.14,16,381909.14,Fire,30-04-2002,776218.54,23-08-2012,42.3,10.9,22.6,268,Port_40,Port_32,Port_40,Mediterranean,0.15,0.1,0.0,46,87,Rainy,5.02,18.13,14.11,4.0,6.84,12,2.52,17.67,329806.01,High
VSL-1009,Herald of Free Enterprise,Cruise,36,151187.57,Gas Turbine,USA,White Star Line,29-11-2007,True,POL-5009,713101.37,7,974074.5,Grounding,19-04-2003,2208635.4,24-11-2009,5.0,70.0,21.52,60,Port_16,Port_11,Port_43,Indian Ocean,0.7,0.4,25.0,7,23,Stormy,1.75,59.7,12.95,8.0,37.12,9,2.27,19.4,917647.27,High
